dan - 170927.874163	0.000005	0.100513
dan - 170927.875135	0.000099	0.101822
dan - 170927.876265	0.000116	0.102943
dan - 170927.877409	0.000119	0.104080
dan - 170927.878554	0.000120	0.105218
dan - 170927.879915	0.000145	0.106572
dan - 170927.881166	0.000135	0.107816
dan - 170927.882287	0.000122	0.108943
dan - 170927.883428	0.000126	0.110076
dan - 170927.884604	0.000131	0.111244
dan - 170927.885746	0.000128	0.112379
dan - 170927.886890	0.000130	0.113516
dan - 170927.888076	0.000136	0.114647
dan - 170927.889125	0.000121	0.115737
dan - 170927.890285	0.000135	0.116887
dan - 170927.891464	0.000139	0.118059
dan - 170927.892926	0.000175	0.119505
dan - 170927.894090	0.000140	0.120666
dan - 170927.895218	0.000137	0.121786
dan - 170927.896359	0.000140	0.122918
dan - 170927.897500	0.000142	0.124050
dan - 170927.898681	0.000148	0.125221
dan - 170927.899827	0.000145	0.126358
dan - 170927.900973	0.000146	0.127495
dan - 170927.902241	0.000163	0.128737
dan - 170927.903382	0.000148	0.129884
dan - 170927.904523	0.000150	0.131017
dan - 170927.906483	0.000260	0.132952
dan - 170927.907620	0.000153	0.134087
dan - 170927.908762	0.000154	0.135218
dan - 170927.909911	0.000157	0.136347
dan - 170927.911123	0.000167	0.137557
dan - 170927.912249	0.000156	0.138673
dan - 170927.913391	0.000160	0.139802
dan - 170927.914706	0.000186	0.141106
dan - 170927.915844	0.000162	0.142232
dan - 170927.916986	0.000164	0.143362
dan - 170927.918142	0.000167	0.144503
dan - 170927.919269	0.000164	0.145622
dan - 170927.920409	0.000167	0.146749
dan - 170927.921910	0.000222	0.148242
dan - 170927.923121	0.000181	0.149432
dan - 170927.924247	0.000170	0.150545
dan - 170927.925401	0.000175	0.151676
dan - 170927.926546	0.000175	0.152816
dan - 170927.927683	0.000175	0.153940
dan - 170927.928825	0.000177	0.155068
dan - 170927.930002	0.000184	0.156208
dan - 170927.931127	0.000177	0.157342
dan - 170927.932254	0.000179	0.158455
dan - 170927.934105	0.000297	0.160290
dan - 170927.935242	0.000184	0.161395
dan - 170927.936367	0.000183	0.162512
dan - 170927.937508	0.000187	0.163629
dan - 170927.938647	0.000188	0.164768
dan - 170927.939785	0.000189	0.165887
dan - 170927.940922	0.000190	0.167015
dan - 170927.942084	0.000195	0.168152
dan - 170927.943211	0.000191	0.169258
dan - 170927.944352	0.000194	0.170389
dan - 170927.945503	0.000197	0.171530
dan - 170927.946649	0.000198	0.172641
dan - 170927.947778	0.000196	0.173754
dan - 170927.948912	0.000198	0.174866
dan - 170927.950125	0.000214	0.175981
dan - 170927.951256	0.000200	0.177181
dan - 170927.952393	0.000203	0.178314
dan - 170927.953539	0.000206	0.179441
dan - 170927.954674	0.000205	0.180551
dan - 170927.955836	0.000211	0.181680
dan - 170927.956968	0.000207	0.182807
dan - 170927.958117	0.000211	0.183937
dan - 170927.959244	0.000209	0.185042
dan - 170927.960386	0.000213	0.186154
dan - 170927.961516	0.000212	0.187266
dan - 170927.962653	0.000214	0.188383
dan - 170927.963774	0.000212	0.189492
dan - 170927.964916	0.000218	0.190607
dan - 170927.966094	0.000226	0.191770
dan - 170927.967218	0.000217	0.192875
dan - 170927.968355	0.000221	0.193990
dan - 170927.969487	0.000221	0.195099
dan - 170927.970618	0.000222	0.196209
dan - 170927.971754	0.000224	0.197330
dan - 170927.972911	0.000230	0.198440
dan - 170927.974086	0.000234	0.199547
dan - 170927.975376	0.000259	0.200878
dan - 170927.976516	0.000230	0.201992
dan - 170927.977658	0.000232	0.203108
dan - 170927.978790	0.000231	0.204215
dan - 170927.979946	0.000237	0.205343
dan - 170927.981116	0.000242	0.206499
dan - 170927.982286	0.000243	0.207602
dan - 170927.983382	0.000229	0.208708
dan - 170927.984552	0.000245	0.209839
dan - 170927.985687	0.000239	0.210952
dan - 170927.986828	0.000242	0.212076
dan - 170927.987964	0.000242	0.213188
dan - 170927.989129	0.000250	0.214314
dan - 170927.990254	0.000242	0.215431
dan - 170927.991391	0.000246	0.216532
dan - 170927.992522	0.000246	0.217637
dan - 170927.993675	0.000252	0.218748
dan - 170927.994809	0.000249	0.219859
dan - 170927.995981	0.000259	0.221006
dan - 170927.997148	0.000259	0.222142
dan - 170927.998278	0.000252	0.223253
dan - 170927.999420	0.000256	0.224366
dan - 170928.000553	0.000255	0.225470
dan - 170928.001687	0.000257	0.226578
dan - 170928.002827	0.000259	0.227688
dan - 170928.003961	0.000259	0.228787
dan - 170928.005124	0.000267	0.229920
dan - 170928.006213	0.000252	0.230978
dan - 170928.007342	0.000262	0.232079
dan - 170928.008477	0.000265	0.233189
dan - 170928.009627	0.000270	0.234300
dan - 170928.010763	0.000268	0.235411
dan - 170928.011913	0.000272	0.236513
dan - 170928.013093	0.000280	0.237613
dan - 170928.014297	0.000287	0.238804
dan - 170928.015415	0.000268	0.239917
dan - 170928.016559	0.000276	0.241037
dan - 170928.017700	0.000276	0.242142
dan - 170928.018835	0.000276	0.243237
dan - 170928.019972	0.000278	0.244345
dan - 170928.021119	0.000282	0.245458
dan - 170928.022280	0.000286	0.246579
dan - 170928.023412	0.000280	0.247677
dan - 170928.024567	0.000287	0.248788
dan - 170928.025709	0.000285	0.249896
dan - 170928.026852	0.000287	0.251009
dan - 170928.027985	0.000286	0.252115
dan - 170928.029132	0.000290	0.253214
dan - 170928.030261	0.000287	0.254314
dan - 170928.031393	0.000289	0.255403
dan - 170928.032526	0.000291	0.256499
dan - 170928.033675	0.000296	0.257608
dan - 170928.034807	0.000293	0.258703
dan - 170928.035957	0.000299	0.259811
dan - 170928.037113	0.000302	0.260927
dan - 170928.038260	0.000301	0.262024
dan - 170928.039383	0.000295	0.263125
dan - 170928.040516	0.000299	0.264213
dan - 170928.041650	0.000301	0.265307
